InsuranceName;Company;Average;WholeLifeScore;TermsScore;Gender;Age;Smoker;PriceYear
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;10;Smoker;2,163
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;10;Smoker;1,919
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;10;Smoker;1,871
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;10;Smoker;3,113
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;10;Smoker;3,248
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;10;Smoker;2,277
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;10;Smoker;2,490
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;10;Smoker;2,747
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;10;Smoker;2,424
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;10;Smoker;2,028
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;10;Smoker;3,586
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;10;Smoker;1,889
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;10;Smoker;2,303
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;10;Smoker;2,107
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;10;Smoker;2,055
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;10;Smoker;2,102
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;10;Smoker;1,798
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;10;Smoker;2,649
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;10;Smoker;2,322
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;10;Smoker;2,366
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;10;Smoker;2,292
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;10;Smoker;1,933
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;10;Smoker;2,516
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;10;Smoker;2,180
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;10;Smoker;2,106
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;10;Smoker;2,615
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;10;Smoker;2,441
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;10;Smoker;1,794
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;10;Smoker;2,147
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;10;Smoker;2,304
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;10;Smoker;1,713
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;10;Smoker;2,286
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;10;Smoker;1,560
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;10;Smoker;1,829
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;10;Smoker;1,007
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;10;Smoker;1,722
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;10;Smoker;1,257
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;10;Smoker;1,262
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;10;Smoker;1,845
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Female;10;Smoker;1,473
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;18;Smoker;3,263
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;18;Smoker;2,981
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;18;Smoker;2,421
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;18;Smoker;4,188
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;18;Smoker;4,427
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;18;Smoker;2,936
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;18;Smoker;3,218
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;18;Smoker;3,920
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;18;Smoker;3,297
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Female;18;Smoker;3,617
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;18;Smoker;3,220
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;18;Smoker;4,893
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;18;Smoker;2,765
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;18;Smoker;3,331
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;18;Smoker;3,361
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;18;Smoker;2,778
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;18;Smoker;2,777
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;18;Smoker;2,439
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;18;Smoker;3,544
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;18;Smoker;3,114
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;18;Smoker;3,449
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;18;Smoker;3,213
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Female;18;Smoker;3,351
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;18;Smoker;2,954
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;18;Smoker;3,887
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;18;Smoker;3,140
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;18;Smoker;2,907
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Female;18;Smoker;3,611
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Female;18;Smoker;3,024
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;18;Smoker;3,431
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;18;Smoker;3,542
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Female;18;Smoker;3,471
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;18;Smoker;2,619
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;18;Smoker;3,093
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;18;Smoker;3,546
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;18;Smoker;2,259
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;18;Smoker;2,913
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;18;Smoker;2,202
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;18;Smoker;2,258
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;18;Smoker;1,579
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;18;Smoker;2,449
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;18;Smoker;1,821
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;18;Smoker;1,832
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Female;18;Smoker;3,199
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;18;Smoker;2,709
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Female;18;Smoker;1,991
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;25;Smoker;4,176
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;25;Smoker;3,611
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;25;Smoker;3,701
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;25;Smoker;5,303
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;25;Smoker;5,670
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;25;Smoker;3,645
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;25;Smoker;3,978
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;25;Smoker;5,030
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;25;Smoker;4,257
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Female;25;Smoker;4,394
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;25;Smoker;4,084
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;25;Smoker;6,019
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;25;Smoker;3,453
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;25;Smoker;4,274
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;25;Smoker;4,227
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;25;Smoker;3,587
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;25;Smoker;3,425
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;25;Smoker;3,270
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;25;Smoker;4,396
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Female;25;Smoker;4,421
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;25;Smoker;3,945
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;25;Smoker;4,405
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;25;Smoker;4,157
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Female;25;Smoker;4,445
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;25;Smoker;3,635
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;25;Smoker;5,159
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;25;Smoker;4,010
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;25;Smoker;3,834
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Female;25;Smoker;3,656
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Female;25;Smoker;3,885
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;25;Smoker;4,358
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;25;Smoker;4,190
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Female;25;Smoker;3,541
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;25;Smoker;3,557
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;25;Smoker;3,839
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;25;Smoker;4,368
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;25;Smoker;2,870
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;25;Smoker;3,675
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;25;Smoker;2,501
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;25;Smoker;2,880
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Female;25;Smoker;3,122
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;25;Smoker;2,165
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;25;Smoker;3,046
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;25;Smoker;2,164
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;25;Smoker;2,411
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Female;25;Smoker;3,892
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;25;Smoker;3,351
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Female;25;Smoker;2,582
EasyWell Critical Illness Protector;Prudential | 保誠保險;4.6;4.9 / 10;1.8 / 10;Female;25;Smoker;2,066
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;30;Smoker;5,097
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;30;Smoker;4,191
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;30;Smoker;4,404
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;30;Smoker;6,239
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;30;Smoker;6,717
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;30;Smoker;4,268
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;30;Smoker;4,647
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;30;Smoker;6,054
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;30;Smoker;4,992
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Female;30;Smoker;4,938
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;30;Smoker;4,987
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;30;Smoker;7,011
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;30;Smoker;4,163
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;30;Smoker;5,086
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;30;Smoker;5,086
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;30;Smoker;4,227
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;30;Smoker;3,941
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;30;Smoker;3,916
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;30;Smoker;5,134
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;30;Smoker;4,650
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;30;Smoker;5,236
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;30;Smoker;4,902
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Female;30;Smoker;5,406
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;30;Smoker;4,295
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;30;Smoker;6,188
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;30;Smoker;4,768
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;30;Smoker;4,586
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Female;30;Smoker;5,506
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Female;30;Smoker;4,635
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;30;Smoker;4,911
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;30;Smoker;4,650
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Female;30;Smoker;5,275
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;30;Smoker;4,128
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;30;Smoker;4,391
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;30;Smoker;3,788
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;30;Smoker;3,360
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;30;Smoker;4,389
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;30;Smoker;2,837
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;30;Smoker;3,396
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;30;Smoker;2,654
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;30;Smoker;3,547
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;30;Smoker;2,668
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;30;Smoker;2,862
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Female;30;Smoker;4,362
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;30;Smoker;3,788
Well Protect Critical Illness SimPro;Well Link Life | 立橋人壽;4.8;5.2 / 10;0.5 / 10;Female;30;Smoker;3,054
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Female;35;Smoker;6,417
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Female;35;Smoker;5,421
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Female;35;Smoker;5,687
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;35;Smoker;7,200
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Female;35;Smoker;7,779
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;35;Smoker;5,079
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Female;35;Smoker;5,531
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Female;35;Smoker;7,041
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Female;35;Smoker;5,670
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Female;35;Smoker;6,033
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Female;35;Smoker;6,097
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Female;35;Smoker;8,148
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Female;35;Smoker;5,063
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Female;35;Smoker;6,167
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Female;35;Smoker;6,157
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Female;35;Smoker;4,968
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Female;35;Smoker;4,943
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Female;35;Smoker;4,792
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Female;35;Smoker;5,944
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Female;35;Smoker;6,234
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Female;35;Smoker;5,465
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Female;35;Smoker;6,184
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Female;35;Smoker;5,847
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Female;35;Smoker;6,507
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Female;35;Smoker;5,255
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Female;35;Smoker;7,244
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Female;35;Smoker;5,678
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Female;35;Smoker;5,610
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Female;35;Smoker;5,240
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Female;35;Smoker;5,559
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Female;35;Smoker;5,814
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Female;35;Smoker;5,328
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Female;35;Smoker;5,064
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Female;35;Smoker;4,841
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Female;35;Smoker;5,019
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Female;35;Smoker;5,646
SunHealth OmniCare Plan 1;Sun Life | Sun Life 永明;5.8;6.1 / 10;2.8 / 10;Female;35;Smoker;3,923
CoverVital Critical Illness Protector;China Taiping | 中國太平;5.5;5.8 / 10;2.8 / 10;Female;35;Smoker;5,334
PrimeHealth Pro (Essential);YF Life | 萬通保險;5.3;5.6 / 10;3.0 / 10;Female;35;Smoker;3,263
Crisis XDefender Light;FWD | 富衛;5.3;5.6 / 10;3.0 / 10;Female;35;Smoker;4,021
PRUHealth Critical Illness First Protect II;Prudential | 保誠保險;5.3;5.6 / 10;2.8 / 10;Female;35;Smoker;4,380
ManuVital Care;Manulife | 宏利;5.1;5.2 / 10;3.8 / 10;Female;35;Smoker;3,194
Super Care Critical Illness Protector;Chubb Life | 安達人壽;5.0;5.3 / 10;2.3 / 10;Female;35;Smoker;4,297
“Protect Starter” Critical Illness Protector;CTF Life | 周大福人壽;5.0;5.2 / 10;3.0 / 10;Female;35;Smoker;3,259
Executive Care Pro 2 Plan;AIA | 友邦香港;5.0;5.2 / 10;2.5 / 10;Female;35;Smoker;3,477
Protector Critical Illness Insurance Plan;China Life | 中國人壽;4.9;5.2 / 10;1.8 / 10;Female;35;Smoker;4,639
BestCarePro;BOC Life | 中銀人壽;4.8;5.2 / 10;1.3 / 10;Female;35;Smoker;4,325
